Term,Description,Classes,References
 self-supervised learning,"A family of techniques for converting an
unsupervised machine learning problem
into a supervised machine learning problem
by creating surrogate labels from
unlabeled examples. Some Transformer-based models such as BERT use
self-supervised learning. Self-supervised training is a
semi-supervised learning approach.",None,"unsupervised machine learning, supervised machine learning, labels, unlabeled examples, Transformer, BERT, semi-supervised learning"
 self-training,"A variant of self-supervised learning that is
particularly useful when all of the following conditions are true: The ratio of unlabeled examples to
labeled examples in the dataset is high. This is a classification problem. Self-training works by iterating over the following two steps until the model
stops improving: Notice that each iteration of Step 2 adds more labeled examples for Step 1 to
train on.",None,"self-supervised learning, unlabeled examples, labeled examples, classification"
 semi-supervised learning,"Training a model on data where some of the training examples have labels but
others don't. One technique for semi-supervised learning is to infer labels for
the unlabeled examples, and then to train on the inferred labels to create a new
model. Semi-supervised learning can be useful if labels are expensive to obtain
but unlabeled examples are plentiful. Self-training is one technique for semi-supervised
learning.",None,Self-training
 sensitive attribute,,Fairness,None
 sentiment analysis,"Using statistical or machine learning algorithms to determine a group's
overall attitude—positive or negative—toward a service, product,
organization, or topic. For example, using
natural language understanding,
an algorithm could perform sentiment analysis on the textual feedback
from a university course to determine the degree to which students
generally liked or disliked the course.",Language Evaluation,natural language understanding
 sequence model,"A model whose inputs have a sequential dependence. For example, predicting
the next video watched from a sequence of previously watched videos.",Sequence Models,None
 sequence-to-sequence task,"A task that converts an input sequence of tokens to an output
sequence of tokens. For example, two popular kinds of sequence-to-sequence
tasks are: Translators:

Sample input sequence: ""I love you.""
Sample output sequence: ""Je t'aime."" Sample input sequence: ""I love you."" Sample output sequence: ""Je t'aime."" Question answering:

Sample input sequence: ""Do I need my car in New York City?""
Sample output sequence: ""No. Please keep your car at home."" Sample input sequence: ""Do I need my car in New York City?"" Sample output sequence: ""No. Please keep your car at home.""",Language Evaluation,tokens
 serving,"The process of making a trained model available to provide predictions through
online inference or
offline inference.",None,"online inference, offline inference"
 shape (Tensor),"The number of elements in each dimension of a
tensor. The shape is represented as a list of integers. For example,
the following two-dimensional tensor has a shape of [3,4]: TensorFlow uses row-major (C-style) format to represent the order of
dimensions, which is why the shape in TensorFlow is [3,4] rather than
[4,3]. In other words, in a two-dimensional TensorFlow Tensor, the shape
is [number of rows, number of columns]. A static shape is a tensor shape that is known at compile time. A dynamic shape is unknown at compile time and is
therefore dependent on runtime data. This tensor might be represented with a
placeholder dimension in TensorFlow, as in [3, ?].",None,dimension
 shard ,"A logical division of the training set or the
model. Typically, some process creates shards by dividing
the examples or parameters into (usually)
equal-sized chunks. Each shard is then assigned to a different machine. Sharding a model is called model parallelism;
sharding data is called data parallelism.",TensorFlow,"training set, model, examples, parameters, model parallelism, data parallelism"
 shrinkage ,"A hyperparameter in
gradient boosting that controls
overfitting. Shrinkage in gradient boosting
is analogous to learning rate in
gradient descent. Shrinkage is a decimal
value between 0.0 and 1.0. A lower shrinkage value reduces overfitting
more than a larger shrinkage value.",Decision Forests,"hyperparameter, gradient boosting, overfitting, learning rate, gradient descent"
 sigmoid function,"A mathematical function that ""squishes"" an input value into a constrained range,
typically 0 to 1 or -1 to +1. That is, you can pass any number (two, a million,
negative billion, whatever) to a sigmoid and the output will still be in the
constrained range.
A plot of the sigmoid activation function looks as follows: The sigmoid function has several uses in machine learning, including: Converting the raw output of a
logistic regression
or multinomial regression model to
a probability. Acting as an activation function in some
neural networks.",ML Fundamentals,"logistic regression, multinomial regression, activation function"
 similarity measure,"In clustering algorithms, the metric used to determine
how alike (how similar) any two examples are.",Clustering,clustering
 single program / multiple data (SPMD),"A parallelism technique where the same computation is run on different input
data in parallel on different devices. The goal of SPMD is to obtain results
more quickly. It is the most common style of parallel programming.",None,None
 size invariance,"In an image classification problem, an algorithm's ability to successfully
classify images even when the size of the image changes. For example,
the algorithm can still identify a
cat whether it consumes 2M pixels or 200K pixels. Note that even the best
image classification algorithms still have practical limits on size invariance.
For example, an algorithm (or human) is unlikely to correctly classify a
cat image consuming only 20 pixels. See also translational invariance and
rotational invariance.",Image Models,"translational invariance, rotational invariance"
 sketching,"In unsupervised machine learning,
a category of algorithms that perform a preliminary similarity analysis
on examples. Sketching algorithms use a

locality-sensitive hash function
to identify points that are likely to be similar, and then group
them into buckets. Sketching decreases the computation required for similarity calculations
on large datasets. Instead of calculating similarity for every single
pair of examples in the dataset, we calculate similarity only for each
pair of points within each bucket.",Clustering,"unsupervised machine learning, locality-sensitive hash function"
 skip-gram,"An n-gram which may omit (or ""skip"") words from the original
context, meaning the N words might not have been originally adjacent. More
precisely, a ""k-skip-n-gram"" is an n-gram for which up to k words may have
been skipped. For example, ""the quick brown fox"" has the following possible 2-grams: ""the quick"" ""quick brown"" ""brown fox"" A ""1-skip-2-gram"" is a pair of words that have at most 1 word between them.
Therefore, ""the quick brown fox"" has the following 1-skip 2-grams: ""the brown"" ""quick fox"" In addition, all the 2-grams are also 1-skip-2-grams, since fewer
than one word may be skipped. Skip-grams are useful for understanding more of a word's surrounding context.
In the example, ""fox"" was directly associated with ""quick"" in the set of
1-skip-2-grams, but not in the set of 2-grams. Skip-grams help train
word embedding models.",Language Evaluation,"n-gram, word embedding"
 softmax,"A function that determines probabilities for each possible class in a
multi-class classification model. The probabilities add up
to exactly 1.0. For example, the following table shows how softmax distributes
various probabilities: Softmax is also called full softmax. Contrast with candidate sampling.",ML Fundamentals,"multi-class classification model, candidate sampling"
 soft prompt tuning,"A technique for tuning a large language model
for a particular task, without resource intensive
fine-tuning. Instead of retraining all the
weights in the model, soft prompt tuning
automatically adjusts a prompt to achieve the same goal. Given a textual prompt, soft prompt tuning
typically appends additional token embeddings to the prompt and uses
backpropagation to optimize the input. A ""hard"" prompt contains actual tokens instead of token embeddings.",Language Evaluation,"large language model, fine-tuning, weights, prompt"
 sparse feature,"A feature whose values are predominately zero or empty.
For example, a feature containing a single 1 value and a million 0 values is
sparse. In contrast, a dense feature has values that
are predominantly not zero or empty. In machine learning, a surprising number of features are sparse features.
Categorical features are usually sparse features.
For example, of the 300 possible tree species in a forest, a single example
might identify just a maple tree. Or, of the millions
of possible videos in a video library, a single example might identify
just ""Casablanca."" In a model, you typically represent sparse features with
one-hot encoding. If the one-hot encoding is big,
you might put an embedding layer on top of the
one-hot encoding for greater efficiency.",Language Evaluation,"feature, dense feature, one-hot encoding, embedding layer"
 sparse representation,"Storing only the position(s) of nonzero elements in a sparse feature. For example, suppose a categorical feature named species identifies the 36
tree species in a particular forest. Further assume that each
example identifies only a single species. You could use a one-hot vector to represent the tree species in each example.
A one-hot vector would contain a single 1 (to represent
the particular tree species in that example) and 35 0s (to represent the
35 tree species not in that example). So, the one-hot representation
of maple might look something like the following: Alternatively, sparse representation would simply identify the position of the
particular species. If maple is at position 24, then the sparse representation
of maple would simply be: Notice that the sparse representation is much more compact than the one-hot
representation.",Language Evaluation,example
 sparse vector,"A vector whose values are mostly zeroes. See also sparse
feature and sparsity.",ML Fundamentals,"sparse
feature, sparsity"
 sparsity,"The number of elements set to zero (or null) in a vector or matrix divided
by the total number of entries in that vector or matrix. For example,
consider a 100-element matrix in which 98 cells contain zero. The calculation of
sparsity is as follows: Feature sparsity refers to the sparsity of a feature vector;
model sparsity refers to the sparsity of the model weights.",None,None
 spatial pooling,See pooling.,Image Models,pooling
 split ,"In a decision tree, another name for a
condition.",Decision Forests,"decision tree, condition"
 splitter ,"While training a decision tree, the routine
(and algorithm) responsible for finding the best
condition at each node.",Decision Forests,"decision tree, condition, node"
 SPMD,Abbreviation for single program / multiple data.,None,single program / multiple data
 squared hinge loss,"The square of the hinge loss. Squared hinge loss penalizes
outliers more harshly than regular hinge loss.",None,hinge loss
 squared loss,Synonym for L2 loss.,ML Fundamentals,L2 loss
 staged training,"A tactic of training a model in a sequence of discrete stages. The goal can be
either to speed up the training process, or to achieve better model quality. An illustration of the progressive stacking approach is shown below: Stage 1 contains 3 hidden layers, stage 2 contains 6 hidden layers, and
stage 3 contains 12 hidden layers. Stage 2 begins training with the weights learned in the 3 hidden layers
of Stage 1. Stage 3 begins training with the weights learned in the 6
hidden layers of Stage 2. See also pipelining.",Language Evaluation,pipelining
 state,"In reinforcement learning, the parameter values that describe the current
configuration of the environment, which the agent uses to
choose an action.",Reinforcement Learning,"agent, action"
 state-action value function,Synonym for Q-function.,Reinforcement Learning,Q-function
 static,"Something done once rather than continuously.
The terms static and offline are synonyms.
The following are common uses of static and offline in machine
learning: static model (or offline model) is a model trained once and then
used for a while. static training (or offline training) is the process of training a
static model. static inference (or offline inference) is a
process in which a model generates a batch of predictions at a time. Contrast with dynamic.",ML Fundamentals,dynamic
 static inference,Synonym for offline inference.,ML Fundamentals,offline inference
 stationarity,"A feature whose values don't change across one or more dimensions, usually time.
For example, a feature whose values look about the same in 2021 and
2023 exhibits stationarity. In the real world, very few features exhibit stationarity. Even features
synonymous with stability (like sea level) change over time. Contrast with nonstationarity.",ML Fundamentals,nonstationarity
 step,"A forward pass and backward pass of one batch. See backpropagation for more information
on the forward pass and backward pass.",None,"batch, backpropagation"
 step size,Synonym for learning rate.,None,learning rate
 stochastic gradient descent (SGD),"A gradient descent algorithm in which the
batch size is one. In other words, SGD trains on
a single example chosen uniformly at
random from a training set.",ML Fundamentals,"gradient descent, batch size, training set"
 stride,"In a convolutional operation or pooling, the delta in each dimension of the
next series of input slices. For example, the following animation
demonstrates a (1,1) stride during a convolutional operation. Therefore,
the next input slice starts one position to the right of the previous input
slice. When the operation reaches the right edge, the next slice is all
the way over to the left but one position down. The preceding example demonstrates a two-dimensional stride. If the input
matrix is three-dimensional, the stride would also be three-dimensional.",Image Models,None
 structural risk minimization (SRM),"An algorithm that balances two goals: The need to build the most predictive model (for example, lowest loss). The need to keep the model as simple as possible (for example, strong
regularization). For example, a function that minimizes loss+regularization on the
training set is a structural risk minimization algorithm. Contrast with empirical risk minimization.",None,empirical risk minimization
 subsampling,See pooling.,Image Models,pooling
 subword token,"In language models, a token that is a
substring of a word, which may be the entire word. For example, a word like ""itemize"" might be broken up into the pieces ""item""
(a root word) and ""ize"" (a suffix), each of which is represented by its own
token. Splitting uncommon words into such pieces, called subwords, allows
language models to operate on the word's more common constituent parts,
such as prefixes and suffixes. Conversely, common words like ""going"" might not be broken up and might be
represented by a single token.",Language Evaluation,"language models, token"
 summary,"In TensorFlow, a value or set of values calculated at a particular
step, usually used for tracking model metrics during training.",TensorFlow,step
 supervised machine learning,"Training a model from features and their
corresponding labels. Supervised machine learning is analogous
to learning a subject by studying a set of questions and their
corresponding answers. After mastering the mapping between questions and
answers, a student can then provide answers to new (never-before-seen)
questions on the same topic. Compare with
unsupervised machine learning.",ML Fundamentals,"model, features, labels, unsupervised machine learning"
 synthetic feature,"A feature not present among the input features, but
assembled from one or more of them. Methods for creating synthetic features
include the following: Bucketing a continuous feature into range bins. Creating a feature cross. Multiplying (or dividing) one feature value by other feature value(s)
or by itself. For example, if a and b are input features, then the
following are examples of synthetic features:

ab
a2 ab a2 Applying a transcendental function to a feature value. For example, if c
is an input feature, then the following are examples of synthetic features:

sin(c)
ln(c) sin(c) ln(c) Features created by normalizing or scaling
alone are not considered synthetic features.",ML Fundamentals,"feature, Bucketing, feature cross, normalizing, scaling"
 T5,"A text-to-text transfer learning model
introduced by
 Google AI in 2020.
T5 is an encoder-decoder model, based on the
Transformer architecture, trained on an extremely large
dataset. It is effective at a variety of natural language processing tasks,
such as generating text, translating languages, and answering questions in
a conversational manner. T5 gets its name from the five T's in ""Text-to-Text Transfer Transformer.""",Language Evaluation,"transfer learning, model, Google AI in 2020, encoder, decoder, Transformer"
 T5X,"An open-source, machine learning framework designed
to build and train large-scale natural language processing
(NLP) models. T5 is implemented on the T5X codebase (which is
built on JAX and Flax).",Language Evaluation,"machine learning, train, T5, JAX, Flax"
 tabular Q-learning,"In reinforcement learning, implementing
Q-learning by using a table to store the
Q-functions for every combination of
state and action.",Reinforcement Learning,"reinforcement learning, Q-learning, Q-functions, state, action"
 target,Synonym for label.,None,label
 target network,"In Deep Q-learning, a neural network that is a stable
approximation of the main neural network, where the main neural network
implements either a Q-function or a policy.
Then, you can train the main network on the Q-values predicted by the target
network. Therefore, you prevent the feedback loop that occurs when the main
network trains on Q-values predicted by itself. By avoiding this feedback,
training stability increases.",Reinforcement Learning,"Deep Q-learning, Q-function, policy"
 task,"A problem that can be solved using machine learning techniques, such as: classification regression clustering anomaly detection",None,"classification, regression, clustering, anomaly detection"
 temperature,"A hyperparameter that controls the degree of randomness
of a model's output. Higher temperatures result in more random output,
while lower temperatures result in less random output. Choosing the best temperature depends on the specific application and
the preferred properties of the model's output. For example, you would
probably raise the temperature when creating an application that
generates creative output. Conversely, you would probably lower the temperature
when building a model that classifies images or text in order to improve the
model's accuracy and consistency. Temperature is often used with softmax.",Language Evaluation,"hyperparameter, softmax"
 temporal data,"Data recorded at different points in time. For example, winter coat sales
recorded for each day of the year would be temporal data.",None,None
 Tensor,"The primary data structure in TensorFlow programs. Tensors are N-dimensional
(where N could be very large) data structures, most commonly scalars, vectors,
or matrixes. The elements of a Tensor can hold integer, floating-point,
or string values.",TensorFlow,None
 TensorBoard,"The dashboard that displays the summaries saved during the execution of one or
more TensorFlow programs.",TensorFlow,None
 TensorFlow,"A large-scale, distributed, machine learning platform. The term also refers to
the base API layer in the TensorFlow stack, which supports general computation
on dataflow graphs. Although TensorFlow is primarily used for machine learning, you may also use
TensorFlow for non-ML tasks that require numerical computation using
dataflow graphs.",TensorFlow,None
 TensorFlow Playground,"A program that visualizes how different
hyperparameters influence model
(primarily neural network) training.
Go to

http://playground.tensorflow.org
to experiment with TensorFlow Playground.",TensorFlow,"hyperparameters, http://playground.tensorflow.org"
 TensorFlow Serving,A platform to deploy trained models in production.,TensorFlow,None
 Tensor Processing Unit (TPU),"An application-specific integrated circuit (ASIC) that optimizes the
performance of machine learning workloads. These ASICs are deployed as
multiple TPU chips on a TPU device.",TensorFlow,"TPU chips, TPU device"
 Tensor rank,See rank (Tensor).,TensorFlow,rank (Tensor)
 Tensor shape,"The number of elements a Tensor contains in various dimensions.
For example, a [5, 10] Tensor has a shape of 5 in one dimension and 10
in another.",TensorFlow,Tensor
 Tensor size,"The total number of scalars a Tensor contains. For example, a
[5, 10] Tensor has a size of 50.",TensorFlow,Tensor
 TensorStore ,"A library for efficiently reading and
writing large multi-dimensional arrays.",None,library
 termination condition,"In reinforcement learning, the conditions that
determine when an episode ends, such as when the agent reaches
a certain state or exceeds a threshold number of state transitions.
For example, in tic-tac-toe (also
known as noughts and crosses), an episode terminates either when a player marks
three consecutive spaces or when all spaces are marked.",Reinforcement Learning,"reinforcement learning, episode, tic-tac-toe"
 test ,"In a decision tree, another name for a
condition.",Decision Forests,"decision tree, condition"
 test loss,"A metric representing a model's loss against
the test set. When building a model, you
typically try to minimize test loss. That's because a low test loss is a
stronger quality signal than a low training loss or
low validation loss. A large gap between test loss and training loss or validation loss sometimes
suggests that you need to increase the
regularization rate.",ML Fundamentals,"metric, loss, test set, model, training loss, validation loss, regularization rate"
 test set,"A subset of the dataset reserved for testing
a trained model. Traditionally, you divide examples in the dataset into the following three
distinct subsets: a training set a validation set a test set Each example in a dataset should belong to only one of the preceding subsets.
For instance, a single example shouldn't belong to both the training set and
the test set. The training set and validation set are both closely tied to training a model.
Because the test set is only indirectly associated with training,
test loss is a less biased, higher quality metric than
training loss or validation loss.",None,"dataset, model, training set, validation set, test loss, training loss, validation loss"
 text span,"The array index span associated with a specific subsection of a text string.
For example, the word good in the Python string s=""Be good now"" occupies
the text span from 3 to 6.",Language Evaluation,None
 tf.Example,"A standard

protocol buffer
for describing input data for machine learning model training or inference.",TensorFlow,protocol buffer
 tf.keras,"An implementation of Keras integrated into
TensorFlow.",TensorFlow,"Keras, TensorFlow"
 threshold (for decision trees) ,"In an axis-aligned condition, the value that a
feature is being compared against. For example, 75 is the
threshold value in the following condition:",Decision Forests,"axis-aligned condition, feature"
 time series analysis,"A subfield of machine learning and statistics that analyzes
temporal data. Many types of machine learning
problems require time series analysis, including classification, clustering,
forecasting, and anomaly detection. For example, you could use
time series analysis to forecast the future sales of winter coats by month
based on historical sales data.",Clustering,temporal data
timestep,"One ""unrolled"" cell within a
recurrent neural network.
For example, the following figure shows three timesteps (labeled with
the subscripts t-1, t, and t+1):",Sequence Models,recurrent neural network
 token,"In a language model, the atomic unit that the model is
training on and making predictions on. A token is typically one of the
following: a word—for example, the phrase ""dogs like cats"" consists of three word
tokens: ""dogs"", ""like"", and ""cats"". a character—for example, the phrase ""bike fish"" consists of nine
character tokens. (Note that the blank space counts as one of the tokens.) subwords—in which a single word can be a single token or multiple tokens.
A subword consists of a root word, a prefix, or a suffix. For example,
a language model that uses subwords as tokens might view the word ""dogs""
as two tokens (the root word ""dog"" and the plural suffix ""s""). That same
language model might view the single word ""taller"" as two subwords (the
root word ""tall"" and the suffix ""er""). In domains outside of language models, tokens can represent other kinds of
atomic units. For example, in computer vision, a token might be a subset
of an image.",Language Evaluation,language model
tower,"A component of a deep neural network that is
itself a deep neural network. In some cases, each tower reads from an
independent data source, and those towers stay independent until their
output is combined in a final layer. In other cases, (for example, in
the encoder and decoder tower of
many Transformers), towers have cross-connections
to each other.",None,"deep neural network, encoder, decoder, Transformers"
 TPU ,Abbreviation for Tensor Processing Unit.,TensorFlow,Tensor Processing Unit
 TPU chip ,"A programmable linear algebra accelerator with on-chip high bandwidth memory
that is optimized for machine learning workloads.
Multiple TPU chips are deployed on a TPU device.",TensorFlow,TPU device
 TPU device ,"A printed circuit board (PCB) with multiple TPU chips,
high bandwidth network interfaces, and system cooling hardware.",TensorFlow,TPU chips
 TPU master,"The central coordination process running on a host machine that sends and
receives data, results, programs, performance, and system health information
to the TPU workers. The TPU master also manages the setup
and shutdown of TPU devices.",TensorFlow,"TPU workers, TPU devices"
 TPU node ,"A TPU resource on Google Cloud with a specific
TPU type. The TPU node connects to your
VPC Network from a
peer VPC network.
TPU nodes are a resource defined in the
Cloud TPU API.",TensorFlow,"TPU type, VPC Network, peer VPC network, Cloud TPU API"
 TPU Pod ,"A specific configuration of TPU devices in a Google
data center. All of the devices in a TPU Pod are connected to one another
over a dedicated high-speed network. A TPU Pod is the largest configuration of
TPU devices available for a specific TPU version.",TensorFlow,"TPU devices, TPU devices"
 TPU resource,"A TPU entity on Google Cloud that you create, manage, or consume. For
example, TPU nodes and TPU types are
TPU resources.",TensorFlow,"TPU nodes, TPU types"
 TPU slice,"A TPU slice is a fractional portion of the TPU devices in
a TPU Pod. All of the devices in a TPU slice are connected
to one another over a dedicated high-speed network.",TensorFlow,"TPU devices, TPU Pod"
 TPU type ,"A configuration of one or more TPU devices with a specific
TPU hardware version. You select a TPU type when you create
a TPU node on Google Cloud. For example, a v2-8
TPU type is a single TPU v2 device with 8 cores. A v3-2048 TPU type has 256
networked TPU v3 devices and a total of 2048 cores. TPU types are a resource
defined in the
Cloud TPU API.",TensorFlow,"TPU devices, TPU node, Cloud TPU API"
 TPU worker,"A process that runs on a host machine and executes machine learning programs
on TPU devices.",TensorFlow,TPU devices
 training,"The process of determining the ideal parameters (weights and
biases) comprising a model. During training, a system reads in
examples and gradually adjusts parameters. Training uses each
example anywhere from a few times to billions of times.",ML Fundamentals,"parameters, model, examples"
 training loss,"A metric representing a model's loss during a
particular training iteration. For example, suppose the loss function
is Mean Squared Error. Perhaps the training loss (the Mean
Squared Error) for the 10th iteration is 2.2, and the training loss for
the 100th iteration is 1.9. A loss curve plots training loss versus the number of
iterations. A loss curve provides the following hints about training: A downward slope implies that the model is improving. An upward slope implies that the model is getting worse. A flat slope implies that the model has reached
convergence. For example, the following somewhat idealized loss curve
shows: A steep downward slope during the initial iterations, which implies
rapid model improvement. A gradually flattening (but still downward) slope until close to the end
of training, which implies continued model improvement at a somewhat
slower pace then during the initial iterations. A flat slope towards the end of training, which suggests convergence. Although training loss is important, see also
generalization.",ML Fundamentals,"metric, loss, Mean Squared Error, loss curve, convergence, loss curve, generalization"
 training-serving skew,"The difference between a model's performance during
training and that same model's performance during
serving.",ML Fundamentals,"training, serving"
 training set,"The subset of the dataset used to train a model. Traditionally, examples in the dataset are divided into the following three
distinct subsets: a training set a validation set a test set Ideally, each example in the dataset should belong to only one of the
preceding subsets. For example, a single example shouldn't belong to
both the training set and the validation set.",ML Fundamentals,"dataset, model, validation set, test set"
 trajectory,"In reinforcement learning, a sequence of
tuples that represent
a sequence of state transitions of the agent,
where each tuple corresponds to the state, action,
reward, and next state for a given state transition.",Reinforcement Learning,"reinforcement learning, tuples, state, agent, action, reward"
 transfer learning,"Transferring information from one machine learning task to another.
For example, in multi-task learning, a single model solves multiple tasks,
such as a deep model that has different output nodes for
different tasks. Transfer learning might involve transferring knowledge
from the solution of a simpler task to a more complex one, or involve
transferring knowledge from a task where there is more data to one where
there is less data. Most machine learning systems solve a single task. Transfer learning is a
baby step towards artificial intelligence in which a single program can solve
multiple tasks.",None,deep model
 Transformer,"A neural network architecture developed at Google that
relies on self-attention mechanisms to transform a
sequence of input embeddings into a sequence of output
embeddings without relying on convolutions or
recurrent neural networks. A Transformer can be
viewed as a stack of self-attention layers. A Transformer can include any of the following: an encoder a decoder both an encoder and decoder An encoder transforms a sequence of embeddings into a new sequence of the
same length. An encoder includes N identical layers, each of which contains two
sub-layers. These two sub-layers are applied at each position of the input
embedding sequence, transforming each element of the sequence into a new
embedding. The first encoder sub-layer aggregates information from across the
input sequence. The second encoder sub-layer transforms the aggregated
information into an output embedding. A decoder transforms a sequence of input embeddings into a sequence of
output embeddings, possibly with a different length. A decoder also includes
N identical layers with three sub-layers, two of which are similar to the
encoder sub-layers. The third decoder sub-layer takes the output of the
encoder and applies the self-attention mechanism to
gather information from it. The blog post Transformer: A Novel Neural Network Architecture for Language
Understanding
provides a good introduction to Transformers.",Language Evaluation,"neural network, self-attention, convolutions, recurrent neural networks, encoder, decoder, self-attention, Transformer: A Novel Neural Network Architecture for Language
Understanding"
 translational invariance,"In an image classification problem, an algorithm's ability to successfully
classify images even when the position of objects within the image changes.
For example, the algorithm can still identify a dog, whether it is in the
center of the frame or at the left end of the frame. See also size invariance and
rotational invariance.",Image Models,"size invariance, rotational invariance"
 trigram,An N-gram in which N=3.,Sequence Models,N-gram
 true negative (TN),"An example in which the model correctly predicts the
negative class. For example, the model infers that
a particular email message is not spam, and that email message really is
not spam.",ML Fundamentals,negative class
 true positive (TP),"An example in which the model correctly predicts the
positive class. For example, the model infers that
a particular email message is spam, and that email message really is spam.",ML Fundamentals,positive class
 true positive rate (TPR),Synonym for recall. That is: True positive rate is the y-axis in an ROC curve.,ML Fundamentals,"recall, ROC curve"
 unawareness (to a sensitive attribute),"A situation in which sensitive attributes are
present, but not included in the training data. Because sensitive attributes
are often correlated with other attributes of one's data, a model trained
with unawareness about a sensitive attribute could still have
disparate impact with respect to that attribute,
or violate other fairness constraints.",Fairness,"sensitive attributes, disparate impact, fairness constraints"
 underfitting,"Producing a model with poor predictive ability because the model
hasn't fully captured the complexity of the training data. Many problems
can cause underfitting, including: Training on the wrong set of features. Training for too few epochs or at too low
a learning rate. Training with too high a regularization rate. Providing too few hidden layers in a
deep neural network.",ML Fundamentals,"model, features, epochs, learning rate, regularization rate, hidden layers"
 undersampling,"Removing examples from the
majority class in a
class-imbalanced dataset in order to
create a more balanced training set. For example, consider a dataset in which the ratio of the majority class to
the minority class is 20:1. To overcome this class
imbalance, you could create a training set consisting of all of the minority
class examples but only a tenth of the majority class examples, which would
create a training-set class ratio of 2:1. Thanks to undersampling, this more
balanced training set might produce a better model. Alternatively, this
more balanced training set might contain insufficient examples to train an
effective model. Contrast with oversampling.",None,"examples, majority class, class-imbalanced dataset, training set, minority class, oversampling"
 unidirectional,"A system that only evaluates the text that precedes a target section of text.
In contrast, a bidirectional system evaluates both the
text that precedes and follows a target section of text.
See bidirectional for more details.",Language Evaluation,bidirectional
 unidirectional language model,"A language model that bases its probabilities only on the
tokens appearing before, not after, the target token(s).
Contrast with bidirectional language model.",Language Evaluation,"language model, tokens, bidirectional language model"
 unlabeled example,"An example that contains features but no label.
For example, the following table shows three unlabeled examples from a house
valuation model, each with three features but no house value: In supervised machine learning,
models train on labeled examples and make predictions on
unlabeled examples. In semi-supervised and
unsupervised learning,
unlabeled examples are used during training. Contrast unlabeled example with labeled example.",ML Fundamentals,"features, label, supervised machine learning, unlabeled examples, semi-supervised, unsupervised, labeled example"
 unsupervised machine learning,"Training a model to find patterns in a dataset, typically an
unlabeled dataset. The most common use of unsupervised machine learning is to
cluster data
into groups of similar examples. For example, an unsupervised machine
learning algorithm can cluster songs based on various properties
of the music. The resulting clusters can become an input to other machine
learning algorithms (for example, to a music recommendation service).
Clustering can help when useful labels are scarce or absent.
For example, in domains such as anti-abuse and fraud, clusters can help
humans better understand the data. Contrast with supervised machine learning.",Clustering,"model, cluster, supervised machine learning"
 uplift modeling,"A modeling technique, commonly used in marketing, that models the
""causal effect"" (also known as the ""incremental impact"") of a
""treatment"" on an ""individual."" Here are two examples: Doctors might use uplift modeling to predict the mortality decrease
(causal effect) of a medical procedure (treatment) depending on the
age and medical history of a patient (individual). Marketers might use uplift modeling to predict the increase in
probability of a purchase (causal effect) due to an advertisement
(treatment) on a person (individual). Uplift modeling differs from classification or
regression in that some labels (for example, half
of the labels in binary treatments) are always missing in uplift modeling.
For example, a patient can either receive or not receive a treatment;
therefore, we can only observe whether the patient is going to heal or
not heal in only one of these two situations (but never both).
The main advantage of an uplift model is that it can generate predictions
for the unobserved situation (the counterfactual) and use it to compute
the causal effect.",None,"classification, regression"
 upweighting,"Applying a weight to the downsampled class equal
to the factor by which you downsampled.",None,downsampled
 user matrix,"In recommendation systems, an
embedding vector generated by
matrix factorization
that holds latent signals about user preferences.
Each row of the user matrix holds information about the relative
strength of various latent signals for a single user.
For example, consider a movie recommendation system. In this system,
the latent signals in the user matrix might represent each user's interest
in particular genres, or might be harder-to-interpret signals that involve
complex interactions across multiple factors. The user matrix has a column for each latent feature and a row for each user.
That is, the user matrix has the same number of rows as the target
matrix that is being factorized. For example, given a movie
recommendation system for 1,000,000 users, the
user matrix will have 1,000,000 rows.",Recommendation Systems,"recommendation systems, embedding vector, matrix factorization"
 validation,"The initial evaluation of a model's quality.
Validation checks the quality of a model's predictions against the
validation set. Because the validation set differs from the training set,
validation helps guard against overfitting. You might think of evaluating the model against the validation set as the
first round of testing and evaluating the model against the
test set as the second round of testing.",ML Fundamentals,"validation set, training set, overfitting, test set"
 validation loss,"A metric representing a model's loss on
the validation set during a particular
iteration of training. See also generalization curve.",ML Fundamentals,"metric, loss, validation set, iteration, generalization curve"
 validation set,"The subset of the dataset that performs initial
evaluation against a trained model. Typically, you evaluate
the trained model against the validation set several
times before evaluating the model against the test set. Traditionally, you divide the examples in the dataset into the following three
distinct subsets: a training set a validation set a test set Ideally, each example in the dataset should belong to only one of the
preceding subsets. For example, a single example shouldn't belong to
both the training set and the validation set.",ML Fundamentals,"dataset, model, validation set, test set, training set, test set"
value imputation,"The process of replacing a missing value with an acceptable substitute.
When a value is missing, you can either discard the entire example or you
can use value imputation to salvage the example. For example, consider a dataset containing a temperature feature that is
supposed to be recorded every hour. However, the temperature reading was
unavailable for a particular hour. Here is a section of the dataset: A system could either delete the missing example or impute the missing
temperature as 12, 16, 18, or 20, depending on the imputation algorithm.",None,None
vanishing gradient problem,"The tendency for the gradients of early hidden layers
of some deep neural networks to become
surprisingly flat (low). Increasingly lower gradients result in increasingly
smaller changes to the weights on nodes in a deep neural network, leading to
little or no learning. Models suffering from the vanishing gradient problem
become difficult or impossible to train.
Long Short-Term Memory cells address this issue. Compare to exploding gradient problem.",Sequence Models,"hidden layers, deep neural networks, Long Short-Term Memory, exploding gradient problem"
